Raw summary for fig4_smooth_all_metrics_evolution.png and fig5_acute_all_metrics_evolution.png
Date: 2026-03-29
Source: paper_formula_cfl095_eps25_dynsign
Note: raw rows only; no averaging or aggregation.
Legend mapping: data02_001_batch256 -> CFL=0.1, data02_002_batch256 -> CFL=0.2, data02_004_batch256 -> CFL=0.4, data02_005_batch256 -> CFL=0.5

[test] Numerical | model=baseline_numerical | curvature=expanded_formula | nodes=current_interface_nodes | source=paper_formula_cfl095_eps25_dynsign

group_id  rho_model  step_or_iter  N_samples       MAE_hk     MaxAE_hk       MSE_hk
smooth/smooth_256        256             5        528 1.206010e-03 1.157036e-02 3.496908e-06
smooth/smooth_256        256            10        528 1.155534e-03 1.431340e-02 4.138002e-06
smooth/smooth_256        256            20        528 1.140142e-03 1.494122e-02 4.270771e-06
smooth/smooth_266        266             5        552 1.120680e-03 8.095418e-03 2.932278e-06
smooth/smooth_266        266            10        552 1.089437e-03 1.145989e-02 3.606692e-06
smooth/smooth_266        266            20        552 1.069939e-03 1.251694e-02 3.757629e-06
smooth/smooth_276        276             5        564 1.083800e-03 9.855187e-03 2.980978e-06
smooth/smooth_276        276            10        564 1.053884e-03 1.211624e-02 3.640881e-06
smooth/smooth_276        276            20        564 1.039260e-03 1.250342e-02 3.762929e-06
  acute/acute_256        256             5        624 2.978780e-03 8.700465e-02 7.087686e-05
  acute/acute_256        256            10        624 2.889591e-03 9.944198e-02 8.013675e-05
  acute/acute_256        256            20        624 2.812635e-03 1.042856e-01 8.290073e-05
  acute/acute_266        266             5        648 3.208543e-03 9.397770e-02 9.111614e-05
  acute/acute_266        266            10        648 3.145211e-03 1.060640e-01 1.081841e-04
  acute/acute_266        266            20        648 3.095323e-03 1.059639e-01 1.131914e-04
  acute/acute_276        276             5        672 2.552403e-03 7.954770e-02 5.093047e-05
  acute/acute_276        276            10        672 2.440846e-03 9.046453e-02 5.823998e-05
  acute/acute_276        276            20        672 2.406392e-03 9.206461e-02 6.084483e-05

[test] Origin | model=origin | curvature=model_prediction | nodes=current_interface_nodes | source=paper_formula_cfl095_eps25_dynsign

group_id  rho_model  step_or_iter  N_samples       MAE_hk     MaxAE_hk       MSE_hk
smooth/smooth_256        256             5        528 9.781769e-04 4.943795e-03 1.647597e-06
smooth/smooth_256        256            10        528 5.352429e-04 4.969421e-03 5.326172e-07
smooth/smooth_256        256            20        528 5.341478e-04 5.036208e-03 5.343804e-07
smooth/smooth_266        266             5        552 9.152999e-04 7.550251e-03 1.674384e-06
smooth/smooth_266        266            10        552 5.963435e-04 7.536867e-03 7.870939e-07
smooth/smooth_266        266            20        552 5.747219e-04 7.487694e-03 7.469049e-07
smooth/smooth_276        276             5        564 1.183766e-03 7.482007e-03 2.272062e-06
smooth/smooth_276        276            10        564 7.232268e-04 5.287975e-03 9.635264e-07
smooth/smooth_276        276            20        564 6.666730e-04 4.797786e-03 8.731684e-07
  acute/acute_256        256             5        624 2.521756e-03 4.223448e-02 2.692700e-05
  acute/acute_256        256            10        624 1.940843e-03 4.124949e-02 2.288665e-05
  acute/acute_256        256            20        624 1.897586e-03 4.723803e-02 2.565583e-05
  acute/acute_266        266             5        648 2.501631e-03 4.628009e-02 2.736013e-05
  acute/acute_266        266            10        648 1.952517e-03 4.249785e-02 2.251419e-05
  acute/acute_266        266            20        648 1.907778e-03 4.550439e-02 2.508141e-05
  acute/acute_276        276             5        672 2.245672e-03 5.502953e-02 1.751365e-05
  acute/acute_276        276            10        672 1.731099e-03 4.784473e-02 1.649127e-05
  acute/acute_276        276            20        672 1.718449e-03 4.627755e-02 1.849928e-05

[test] Neural | model=data02_001_batch256 | curvature=model_prediction | nodes=current_interface_nodes | source=paper_formula_cfl095_eps25_dynsign | legend_label=CFL=0.1

group_id  rho_model  step_or_iter  N_samples       MAE_hk     MaxAE_hk       MSE_hk
smooth/smooth_256        256             5        528 8.267610e-04 6.658199e-03 1.257432e-06
smooth/smooth_256        256            10        528 6.364757e-04 3.916230e-03 7.525826e-07
smooth/smooth_256        256            20        528 6.224893e-04 4.150006e-03 7.335449e-07
smooth/smooth_266        266             5        552 9.582215e-04 6.382534e-03 1.704373e-06
smooth/smooth_266        266            10        552 6.959272e-04 4.461018e-03 9.343872e-07
smooth/smooth_266        266            20        552 6.725477e-04 4.306955e-03 8.732513e-07
smooth/smooth_276        276             5        564 9.810690e-04 6.567637e-03 1.797523e-06
smooth/smooth_276        276            10        564 6.447513e-04 4.219572e-03 7.963675e-07
smooth/smooth_276        276            20        564 6.138008e-04 4.106574e-03 7.347638e-07
  acute/acute_256        256             5        624 2.127132e-03 2.999887e-02 1.776827e-05
  acute/acute_256        256            10        624 1.936550e-03 2.842436e-02 1.603823e-05
  acute/acute_256        256            20        624 1.914734e-03 3.014878e-02 1.808727e-05
  acute/acute_266        266             5        648 2.447236e-03 4.422827e-02 2.600703e-05
  acute/acute_266        266            10        648 1.975193e-03 4.218269e-02 2.107379e-05
  acute/acute_266        266            20        648 1.915712e-03 4.373901e-02 2.279005e-05
  acute/acute_276        276             5        672 2.290609e-03 5.217975e-02 2.356410e-05
  acute/acute_276        276            10        672 1.861071e-03 4.688656e-02 2.101625e-05
  acute/acute_276        276            20        672 1.839063e-03 4.570832e-02 2.275168e-05

[test] Neural | model=data02_002_batch256 | curvature=model_prediction | nodes=current_interface_nodes | source=paper_formula_cfl095_eps25_dynsign | legend_label=CFL=0.2

group_id  rho_model  step_or_iter  N_samples       MAE_hk     MaxAE_hk       MSE_hk
smooth/smooth_256        256             5        528 9.718873e-04 6.620275e-03 1.771558e-06
smooth/smooth_256        256            10        528 6.148750e-04 4.124957e-03 6.548179e-07
smooth/smooth_256        256            20        528 5.975256e-04 4.243138e-03 6.203981e-07
smooth/smooth_266        266             5        552 9.907703e-04 7.114497e-03 1.792246e-06
smooth/smooth_266        266            10        552 6.990193e-04 4.830484e-03 9.418584e-07
smooth/smooth_266        266            20        552 6.699392e-04 4.236208e-03 9.005199e-07
smooth/smooth_276        276             5        564 8.340728e-04 7.842869e-03 1.381327e-06
smooth/smooth_276        276            10        564 6.185771e-04 5.978920e-03 7.207781e-07
smooth/smooth_276        276            20        564 6.053753e-04 5.496189e-03 6.938652e-07
